	1B	1N	2B	2N	3B	3N	4B	4N	5B	5N	6B	6N	7B	7N	8B	8N	
isogroup186830_g1	3	8	1	1	1	1	1	0	0	1	0	6	7	8	26	2	
isogroup186843_g1	0	0	0	0	0	1	0	0	0	0	0	0	2	1	1	0	
isogroup186847_g1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
isogroup186884_g1	0	1	0	1	0	0	0	0	0	1	1	2	0	1	1	0	
isogroup186900_g1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
isogroup186903_g1	38	63	18	11	9	31	3	0	12	13	7	34	76	54	334	66	
isogroup186917_g1	8	12	3	2	1	3	0	0	0	11	0	4	14	13	20	4	
isogroup186918_g1	0	2	5	1	1	0	2	0	4	0	1	8	18	1	27	1	
isogroup186927_g1	43	55	10	12	7	22	6	0	6	29	0	12	49	27	158	57	
isogroup186933_g1	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	
isogroup186955_g1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	
isogroup186965_g1	2	8	1	3	2	1	0	0	2	6	4	10	18	14	36	5	
isogroup18697_g1	7	11	3	4	2	1	0	0	0	0	1	2	15	9	25	6	
isogroup186983_g1	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	
isogroup187002_g1	0	1	0	0	0	0	0	0	0	0	0	0	3	0	5	1	
isogroup187010_g1	2	0	0	0	0	1	2	0	1	0	0	1	2	3	5	0	
isogroup187026_g1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	
isogroup187063_g1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	1	
isogroup18706_g1	4	5	0	0	0	1	0	0	1	0	0	0	0	0	3	0	
isogroup187083_g1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	
isogroup187086_g1	0	0	1	3	0	0	0	0	0	0	0	1	5	1	3	0	
isogroup187108_g1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	
isogroup187109_g1	0	0	0	0	0	0	0	0	0	0	0	2	3	0	1	0	
isogroup187122_g1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	
isogroup18712_g1	2	0	1	0	0	1	0	0	0	0	0	0	6	0	15	5	
isogroup187137_g1	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	
isogroup18713_g1	2	9	0	1	2	2	1	0	1	2	0	6	2	3	4	3	
isogroup187148_g1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	7	0	
isogroup187172_g1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	2	0	
isogroup18719_g1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	3	1	
isogroup1871_g1	1	4	0	0	1	0	0	0	0	0	0	2	3	0	4	3	
isogroup187240_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	
isogroup187247_g1	1	6	4	1	1	1	0	0	1	1	1	1	3	3	6	1	
isogroup187248_g1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	
isogroup187307_g1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	
isogroup187312_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup187317_g1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
isogroup18735_g1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	1	
isogroup187368_g1	0	0	0	0	0	1	0	0	0	0	0	1	2	0	3	0	
isogroup18736_g1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	
isogroup187372_g1	3	2	0	1	0	1	0	0	1	1	1	4	3	4	6	2	
isogroup187390_g1	3	4	1	0	0	0	0	0	1	2	1	1	5	0	22	3	
isogroup187396_g1	2	3	0	0	0	1	0	0	0	0	0	0	1	0	2	1	
isogroup18740_g1	3	1	0	0	0	1	0	0	0	0	0	0	2	1	9	1	
isogroup187411_g1	13	12	2	1	0	1	0	0	4	4	2	1	11	4	56	11	
isogroup187419_g1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	3	0	
isogroup18742_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	
isogroup187443_g1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
isogroup187444_g1	1	2	31	21	5	23	1	0	2	2	6	21	18	4	5	1	
isogroup187446_g1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
isogroup187481_g1	2	1	0	0	0	1	1	0	0	1	0	0	4	1	1	1	
isogroup1874_g1	0	0	0	0	0	1	3	0	1	2	1	0	0	0	3	2	
isogroup187522_g1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
isogroup187524_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	
isogroup18754_g1	3	14	0	0	0	0	0	0	0	0	0	0	2	10	0	2	
isogroup187558_g1	9	14	11	6	4	7	2	0	2	11	2	13	46	20	110	10	
isogroup18755_g1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	
isogroup187560_g1	0	3	0	0	0	0	0	1	1	0	0	0	1	1	3	1	
isogroup187571_g1	1	1	0	0	0	1	0	0	0	0	1	0	1	0	7	2	
isogroup187583_g1	10	11	2	0	3	4	0	0	3	4	1	1	9	7	19	2	
isogroup187585_g1	1	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	
isogroup187603_g1	5	3	4	2	0	0	0	0	0	0	2	5	5	4	14	8	
isogroup187625_g1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	
isogroup187626_g1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup187628_g1	2	0	0	1	0	0	0	0	0	0	0	0	1	1	5	1	
isogroup18768_g1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	
isogroup187722_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	
isogroup187763_g1	0	0	0	0	0	0	2	0	2	1	2	2	0	0	2	0	
isogroup187785_g1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	4	0	
isogroup187847_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	
isogroup187848_g1	1	0	4	0	0	0	1	0	1	0	1	2	0	1	5	0	
isogroup187891_g1	1	2	1	0	0	2	0	0	2	2	0	1	3	4	7	1	
isogroup187892_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroup187901_g1	1	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	
isogroup187939_g1	21	30	8	2	6	28	2	0	8	7	1	15	34	10	111	21	
isogroup187955_g1	0	1	4	0	0	0	0	0	0	0	0	0	2	0	5	0	
isogroup188001_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
isogroup188028_g1	1	4	0	0	0	1	0	0	0	2	0	3	3	1	9	2	
isogroup188030_g1	0	5	0	2	1	7	0	0	1	0	0	1	9	3	19	1	
isogroup188044_g1	0	0	1	2	0	3	0	0	0	1	2	0	57	5	25	2	
isogroup188060_g1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	2	1	
isogroup188074_g1	5	8	0	0	2	6	0	0	12	6	1	2	6	1	26	5	
isogroup188110_g1	2	1	0	0	0	2	0	0	1	0	1	0	6	2	1	1	
isogroup188133_g1	12	25	8	8	11	12	3	0	11	6	11	14	35	6	99	16	
isogroup188155_g1	0	0	1	1	0	0	1	0	0	1	0	3	3	1	2	1	
isogroup188170_g1	0	7	1	0	0	1	0	0	1	1	0	8	1	8	6	1	
isogroup188199_g1	0	1	1	0	0	1	0	1	2	0	0	0	1	3	3	0	
isogroup188200_g1	2	1	0	0	0	0	0	0	0	1	0	1	0	0	5	1	
isogroup188214_g1	2	0	0	0	1	1	0	0	1	2	0	2	6	0	9	0	
isogroup188219_g1	1	3	2	0	0	0	0	0	1	0	0	1	11	8	9	2	
isogroup188222_g1	0	0	3	3	0	2	1	0	2	2	3	6	0	0	0	0	
isogroup188232_g1	1	0	1	0	0	2	1	0	0	0	2	2	0	1	6	1	
isogroup18823_g1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	
isogroup188257_g1	0	0	0	0	0	0	0	0	0	0	3	3	2	0	2	1	
isogroup188268_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroup188278_g1	1	1	0	0	0	1	0	0	0	1	0	2	2	0	4	0	
isogroup188282_g1	0	4	2	2	1	6	1	0	4	2	0	4	4	2	43	7	
isogroup188331_g1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	
isogroup188349_g1	0	2	1	0	0	0	0	0	0	3	0	4	4	2	17	1	
isogroup188350_g1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	3	1	
isogroup188360_g1	0	1	0	0	0	0	0	0	0	1	0	0	5	2	2	0	
isogroup188368_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	
isogroup188376_g1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
isogroup188406_g1	1	2	1	0	0	1	0	0	1	1	0	0	1	0	9	0	
isogroup188432_g1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	
isogroup188433_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
isogroup188440_g1	4	0	0	0	0	0	1	0	0	1	1	1	4	2	10	1	
isogroup188488_g1	5	4	1	0	0	2	1	0	0	1	0	0	4	2	48	6	
isogroup188515_g1	2	2	0	0	0	2	0	0	3	0	1	2	3	3	13	9	
isogroup188520_g1	1	4	0	0	0	0	0	0	0	1	0	2	1	0	9	7	
isogroup188567_g1	1	6	0	0	0	2	0	0	0	0	0	1	3	2	13	1	
isogroup18857_g1	14	14	2	3	0	1	1	0	0	0	0	0	20	12	22	6	
isogroup18858_g1	2	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	
isogroup188590_g1	9	15	6	4	3	20	2	0	5	10	2	7	42	18	57	15	
isogroup188593_g1	1	8	6	0	0	1	2	0	0	0	0	1	6	4	5	3	
isogroup188605_g1	1	0	0	0	0	4	1	0	3	0	2	6	25	12	0	0	
isogroup188617_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroup188633_g1	1	1	0	0	0	1	0	0	0	0	2	0	0	1	19	1	
isogroup188643_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup188652_g1	2	11	1	0	2	2	0	0	0	0	0	5	4	1	22	6	
isogroup188668_g1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
isogroup188698_g1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	
isogroup188703_g1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	
isogroup188726_g1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	
isogroup188731_g1	0	1	2	0	0	0	25	0	0	8	3	23	1	0	8	2	
isogroup188740_g1	3	6	2	0	0	1	0	0	0	0	0	1	6	1	18	4	
isogroup188756_g1	0	0	0	1	1	3	0	0	1	1	3	1	0	0	1	0	
isogroup18876_g1	0	2	2	3	0	2	2	0	23	30	2	12	20	12	81	15	
isogroup188783_g1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	
isogroup18881_g1	0	1	3	0	0	0	0	0	0	1	1	0	1	0	1	0	
isogroup18882_g1	6	4	2	0	1	7	4	1	5	8	11	9	12	4	64	11	
isogroup188839_g1	0	0	0	0	0	0	0	0	0	0	0	0	5	1	1	0	
isogroup18887_g1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	3	1	
isogroup188905_g1	1	0	0	0	0	0	0	0	0	11	2	3	0	0	2	0	
isogroup188908_g1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroup188922_g1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	
isogroup188937_g1	9	12	1	0	0	4	0	0	4	1	1	1	13	9	45	11	
isogroup188959_g1	32	44	6	7	33	32	73	0	106	97	33	137	111	28	66	26	
isogroup18895_g1	0	0	0	1	0	0	0	1	0	2	0	2	2	0	7	0	
isogroup188976_g1	1	2	0	0	0	0	0	0	0	1	0	0	0	0	3	0	
isogroup188985_g1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	
isogroup188_g1	7	6	5	2	1	3	0	0	3	4	1	9	16	5	45	12	
isogroup189022_g1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	
isogroup189037_g1	3	2	0	0	0	1	0	0	1	0	0	1	1	0	2	1	
isogroup189043_g1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup18904_g1	0	1	0	0	0	0	0	0	1	0	1	0	7	1	2	0	
isogroup189053_g1	8	25	13	8	1	10	2	0	6	6	0	6	1	0	63	10	
isogroup189083_g1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	
isogroup189092_g1	8	18	5	0	2	2	2	0	2	12	2	11	43	3	38	7	
isogroup189133_g1	11	9	2	2	1	4	1	0	1	2	0	0	27	18	16	1	
isogroup189146_g1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	
isogroup189147_g1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	
isogroup189230_g1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup189269_g1	0	1	0	0	0	0	0	0	0	0	0	1	2	0	1	0	
isogroup18928_g1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	3	0	
isogroup189290_g1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
isogroup189296_g1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	
isogroup189305_g1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
isogroup189371_g1	1	0	1	1	0	6	1	0	2	0	0	1	0	0	7	2	
isogroup189377_g1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	
isogroup189382_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	
isogroup189396_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup1893_g1	2	0	0	0	0	0	0	0	1	0	0	1	0	0	5	0	
isogroup189403_g1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	
isogroup189427_g1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
isogroup189459_g1	1	2	0	0	0	1	0	0	0	1	0	0	1	2	7	0	
isogroup18947_g1	2	2	1	1	0	0	0	0	1	1	0	0	0	0	3	2	
isogroup189541_g1	2	4	1	1	0	0	0	0	0	0	0	6	8	3	11	2	
isogroup189562_g1	1	0	0	0	0	0	1	0	1	0	2	0	0	0	2	1	
isogroup189576_g1	0	0	0	0	0	1	1	1	0	1	1	0	0	0	1	0	
isogroup1895_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	
isogroup18961_g1	6	3	0	1	6	9	0	0	1	1	0	0	14	10	28	5	
isogroup189627_g1	19	30	1	4	1	0	0	0	0	2	1	1	17	3	11	14	
isogroup189649_g1	1	3	0	1	0	0	0	0	0	2	0	2	1	0	19	1	
isogroup189682_g1	1	0	0	0	0	1	0	0	0	1	0	2	1	1	2	1	
isogroup189705_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	
isogroup189724_g1	1	3	0	0	4	1	8	3	3	5	8	4	11	1	6	1	
isogroup189728_g1	5	13	6	5	1	3	0	0	0	3	0	3	12	8	23	8	
isogroup189738_g1	2	2	0	0	2	2	0	0	0	0	0	2	3	2	2	0	
isogroup189752_g1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	
isogroup189764_g1	6	3	2	2	0	0	0	0	0	4	1	5	6	2	14	0	
isogroup189775_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroup189810_g1	0	0	1	2	0	0	1	0	0	1	0	4	0	0	1	0	
isogroup189857_g1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	
isogroup189994_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroup189_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	
isogroup190001_g1	2	3	0	1	0	3	0	0	1	1	1	1	2	1	16	1	
isogroup190007_g1	0	0	0	0	0	1	0	0	3	0	0	0	1	0	2	0	
isogroup19000_g1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroup190016_g1	0	2	0	0	0	0	0	0	0	1	0	0	3	1	4	1	
isogroup190022_g1	1	0	0	0	1	0	0	0	0	0	0	0	2	1	1	0	
isogroup190025_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	
isogroup19003_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	
isogroup190078_g1	2	2	0	0	0	0	0	0	0	0	0	2	0	2	5	5	
isogroup190097_g1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	36	1	
isogroup1900_g1	4	3	0	2	0	2	0	0	1	1	1	0	5	8	17	3	
isogroup190109_g1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	
isogroup19010_g1	629	938	161	89	116	218	28	1	141	243	33	227	1430	679	4216	945	
isogroup19011_g1	0	0	0	0	0	3	0	0	0	0	0	0	1	0	2	0	
isogroup190131_g1	21	34	29	15	7	17	8	0	18	14	5	35	70	23	296	40	
isogroup190133_g1	1	0	0	0	0	0	0	0	0	0	0	0	4	2	3	1	
isogroup190176_g1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup190204_g1	1	3	3	0	0	0	1	0	2	2	4	2	3	0	9	2	
isogroup190209_g1	9	2	0	0	0	1	0	0	2	1	0	2	12	2	20	3	
isogroup190234_g1	3	10	1	1	0	2	0	0	2	5	1	11	18	31	32	20	
isogroup190237_g1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3	0	
isogroup190255_g1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
isogroup190278_g1	0	0	0	0	0	2	0	0	5	1	0	0	0	0	0	0	
isogroup190341_g1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	
isogroup190351_g1	0	0	0	0	4	5	0	0	0	6	1	11	0	0	0	0	
isogroup190372_g1	0	0	0	0	0	0	0	0	0	0	0	2	2	1	6	0	
isogroup190378_g1	0	1	0	0	0	1	0	0	0	2	0	0	0	1	7	3	
isogroup190494_g1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
isogroup190508_g1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup190516_g1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	
isogroup19056_g1	0	0	0	0	1	1	0	0	0	0	0	3	1	0	7	0	
isogroup190583_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	
isogroup190591_g1	0	1	2	1	0	0	0	0	0	1	0	1	2	0	4	0	
isogroup190614_g1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
isogroup190669_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	
isogroup190737_g1	1	1	0	0	1	1	0	0	0	0	0	1	0	0	1	1	
isogroup190747_g1	3	0	2	0	0	0	0	0	0	0	0	0	2	1	6	3	
isogroup190757_g1	6	8	5	1	0	8	0	0	1	3	1	3	11	5	21	2	
isogroup190761_g1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	
isogroup190794_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup190809_g1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	2	3	
isogroup190815_g1	7	6	4	1	0	8	0	0	3	8	2	5	17	8	37	8	
isogroup190844_g1	14	25	0	0	0	0	0	0	0	0	0	0	9	9	1	0	
isogroup19084_g1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	
isogroup190853_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup190865_g1	21	35	9	6	1	7	3	1	5	9	1	11	24	13	91	15	
isogroup19090_g1	4	2	0	2	1	0	1	0	0	0	0	0	0	0	20	5	
isogroup190955_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	
isogroup191002_g1	0	0	0	0	0	0	0	0	3	1	0	0	0	2	0	2	
isogroup191003_g1	0	0	0	0	0	0	0	0	4	1	0	1	0	0	2	0	
isogroup191015_g1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup191033_g1	1	1	1	0	0	0	0	0	1	0	1	1	0	0	4	0	
isogroup191112_g1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	
isogroup191127_g1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	
isogroup191134_g1	1	4	2	0	0	0	0	0	2	0	0	0	1	2	7	5	
isogroup191141_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroup191185_g1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	
isogroup19124_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	
isogroup191277_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup191293_g1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	
isogroup191307_g1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	
isogroup19130_g1	1	3	0	1	0	1	0	0	0	0	0	0	1	0	2	1	
isogroup191319_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroup191340_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	
isogroup191346_g1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	
isogroup191358_g1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	
isogroup19143_g1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	3	0	
isogroup191441_g1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	
isogroup191483_g1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup191499_g1	3	6	4	3	1	0	0	0	1	0	0	1	6	2	8	1	
isogroup191505_g1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	
isogroup191508_g1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
isogroup191581_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroup191596_g1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	
isogroup1915_g1	0	3	1	0	0	0	0	0	0	0	0	0	1	2	4	1	
isogroup191618_g1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup191624_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup191653_g1	5	6	1	1	0	0	0	0	7	2	0	0	10	1	6	0	
isogroup191717_g1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	
isogroup191719_g1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	1	
isogroup191724_g1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	
isogroup19176_g2	2	2	0	0	1	0	0	0	0	0	0	0	1	0	2	0	
isogroup191776_g1	8	14	7	0	0	2	0	0	2	5	2	6	13	3	10	3	
isogroup191781_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	
isogroup191789_g1	0	2	0	0	0	0	0	0	1	0	0	0	3	1	3	0	
isogroup19179_g1	1	2	0	1	0	0	0	0	0	0	0	1	0	0	1	0	
isogroup191837_g1	36	36	0	0	2	17	2	0	3	6	4	11	39	17	82	11	
isogroup191840_g1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup191849_g1	0	1	1	0	0	0	0	0	0	0	0	0	5	1	4	1	
isogroup19185_g1	3	3	1	1	1	0	0	0	1	2	0	1	9	2	17	7	
isogroup191890_g1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	
isogroup191907_g1	11	18	5	2	5	8	2	0	12	8	8	20	19	7	72	9	
isogroup191910_g1	0	0	1	0	0	2	0	0	0	2	0	5	1	1	2	0	
isogroup191932_g1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	
isogroup192024_g1	1	3	1	0	1	1	0	0	2	2	1	6	7	2	21	3	
isogroup192124_g1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	
isogroup19213_g1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	9	1	
isogroup192171_g1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	5	0	
isogroup192174_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
isogroup192175_g1	0	0	2	0	0	0	1	0	0	0	1	1	1	0	0	0	
isogroup192206_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	
isogroup192217_g1	0	0	1	0	0	0	1	0	1	0	1	0	0	1	2	1	
isogroup192252_g1	1	0	1	0	0	0	0	0	0	0	0	2	1	0	2	0	
isogroup19226_g1	2	1	0	0	0	0	0	0	0	0	0	1	8	3	21	4	
isogroup192408_g1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	4	0	
isogroup19242_g1	0	0	1	0	0	1	0	0	0	2	0	1	0	0	0	1	
isogroup192462_g1	12	9	1	2	0	4	2	0	0	3	0	7	7	7	21	4	
isogroup192467_g1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	
isogroup19248_g1	6	6	3	1	0	4	0	0	2	0	1	8	7	3	20	11	
isogroup192564_g1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	
isogroup192572_g1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
isogroup192590_g1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup192592_g1	0	0	0	0	0	0	0	0	1	0	1	2	9	2	28	5	
isogroup192601_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	
isogroup192624_g1	0	2	0	0	0	0	0	0	0	1	1	1	6	3	10	0	
isogroup192626_g1	4	3	0	1	0	4	0	0	0	1	0	1	9	1	9	2	
isogroup192633_g1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	
isogroup19263_g1	0	0	0	0	2	8	1	0	1	6	1	2	37	26	39	4	
isogroup19263_g2	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	
isogroup192662_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	
isogroup19267_g1	0	0	0	0	0	0	0	0	0	2	0	0	2	1	7	5	
isogroup192681_g1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	5	0	
isogroup19268_g1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	
isogroup192731_g1	0	0	0	0	0	0	0	0	0	1	0	0	1	2	1	0	
isogroup192737_g1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	
isogroup19280_g1	0	4	1	0	1	0	0	1	0	0	0	1	0	2	1	0	
isogroup192826_g1	5	9	3	1	1	0	1	0	1	1	0	3	12	6	56	9	
isogroup19282_g1	18	46	0	2	1	0	0	0	0	1	0	0	7	3	107	14	
isogroup192854_g1	1	3	2	0	0	0	0	0	2	0	0	0	5	0	9	2	
isogroup192909_g1	0	1	0	0	2	0	0	0	0	1	0	1	2	0	5	3	
isogroup193047_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	
isogroup193066_g1	1	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	
isogroup193077_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	
isogroup19308_g1	2	0	0	0	0	1	0	0	1	1	1	2	5	1	1	0	
isogroup193107_g1	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	
isogroup193125_g1	0	2	0	0	0	1	0	0	1	0	0	0	2	0	4	0	
isogroup193141_g1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	2	0	
isogroup193275_g1	0	0	3	0	1	0	1	0	0	0	0	2	1	2	0	1	
isogroup193349_g1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	3	0	
